"Job vacancies, payroll employees, and job vacancy rate by provinces and territories, monthly, unadjusted for seasonality 1 2 3"
"Frequency: Monthly"
"Table: 14-10-0371-01"
"Release date: 2024-08-29"
"Geography: Canada, Province or territory"
""
""

"Geography","Statistics","February 2024","March 2024","April 2024","May 2024","June 2024"
,"Job vacancies 4","17,590B","24,995B","17,725C","22,200B","26,610C"
,"Payroll employees 5 6","594,625A","595,020A","596,565A","597,005A","615,085A"
,,"Percent",,,,
,"Job vacancy rate 7","2.9B","4.0B","2.9C","3.6B","4.1C"
"Saskatchewan",,"Number",,,,
,"Job vacancies 4","22,255B","19,655B","18,940B","21,775C","19,395B"
,"Payroll employees 5 6","491,035A","474,040A","492,570A","493,675A","497,015A"
,,"Percent",,,,
,"Job vacancy rate 7","4.3B","4.0B","3.7B","4.2C","3.8B"
"Alberta",,"Number",,,,
,"Job vacancies 4","81,320B","76,285B","73,825B","76,500B","71,205B"
,"Payroll employees 5 6","2,028,850A","2,043,105A","2,029,725A","2,051,795A","2,103,265A"
,,"Percent",,,,
,"Job vacancy rate 7","3.9B","3.6A","3.5B","3.6B","3.3A"
"British Columbia",,"Number",,,,
,"Job vacancies 4","93,415B","94,525A","107,585B","102,720B","105,245A"
,"Payroll employees 5 6","2,383,505A","2,383,700A","2,414,225A","2,398,740A","2,426,055A"
,,"Percent",,,,
,"Job vacancy rate 7","3.8B","3.8A","4.3B","4.1B","4.2A"
"Yukon",,"Number",,,,
,"Job vacancies 4","825D","1,215D","1,220E","1,050E","1,250D"
,"Payroll employees 5 6","18,120A","18,215A","19,095B","19,330A","20,500A"
,,"Percent",,,,
,"Job vacancy rate 7","4.3D","6.2D","6.0E","5.1D","5.7D"
"Northwest Territories",,"Number",,,,
,"Job vacancies 4","650E","715D","2,210E","1,485E","880E"
,"Payroll employees 5 6","21,210A","22,290A","22,805B","22,165C","22,610A"
,,"Percent",,,,
,"Job vacancy rate 7","3.0E","3.1D","8.8E","6.3E","3.7D"
"Nunavut",,"Number",,,,
,"Job vacancies 4","570E","F","365E","890E","F"
,"Payroll employees 5 6","15,220A","16,370B","16,490A","15,965B","F"
,,"Percent",,,,
,"Job vacancy rate 7","3.6E","F","2.2E","5.3E","F"

Symbol legend:
E, use with caution
F, too unreliable to be published
A, data quality: excellent
B, data quality: very good
C, data quality: good
D, data quality: acceptable




Footnotes:
1,"Data quality indicators are based on the coefficient of variation (CV), the non-response errors, the imputation errors, and subject matter expertise: A – Excellent; B - Very good; C - Good; D – Acceptable; E - Use with caution; F - Too unreliable to publish."
2,"Estimates are preliminary before the associated quarterly data is released. The three monthly estimates in a quarter are revised as final when the quarterly estimates are released, or shortly after."
3,"Data for the second and third quarters of 2020 are unavailable due to some Statistics Canada operations being temporarily suspended during the COVID-19 pandemic."
4,"A job is vacant if it meets the following conditions: it is vacant on the reference date (first day of the month) or will become vacant during the month; there are tasks to be carried out during the month for the job in question; and the employer is actively seeking a worker outside the organization to fill the job. The jobs could be full-time, part-time, permanent, temporary, casual, or seasonal. Jobs reserved for subcontractors, external consultants, or other workers who are not considered employees, are excluded."
5,"The "employee" concept used in the Job Vacancy and Wage Survey (JVWS) is comprised of full-time employees, part-time employees, as well as permanent, casual, temporary, and seasonal employees. It also includes working owners, directors, partners, and other officers of incorporated businesses, as well as employees who work off site (for example, at home or on the road) but report to the location, and those employees on paid leave. The "employee" concept used in the JVWS is meant to exclude owners or partners of unincorporated businesses and professional practices, the self-employed, subcontractors, external consultants, unpaid family workers, persons working outside Canada, and military personnel. It also excludes employees on unpaid leave, such as those on extended sick leave who are receiving insurance benefits."
6,"The employment estimates from the Job Vacancy and Wage Survey (JVWS) are calibrated to corresponding employment estimates from the <a href="https://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=2612">Survey of Employment, Payrolls and Hours</a> (SEPH), usually at the North American Industry Classification System sector (NAICS2) level by province. The reference period for JVWS is the first day of the month, which corresponds to the previous month for SEPH. Therefore, JVWS estimates for the current month are calibrated to SEPH estimates for the previous month. To improve timeliness of the preliminary JVWS estimates, they are calibrated to preliminary SEPH employment estimates. The final JVWS estimates are calibrated to final SEPH employment estimates. Users wishing to analyse employment data are advised to use the most current Labour Force Survey and SEPH estimates."
7,"The job vacancy rate is the number of job vacancies expressed as a percentage of labour demand; that is, all occupied and vacant jobs."



"How to cite: Statistics Canada. Table 14-10-0371-01  Job vacancies, payroll employees, and job vacancy rate by provinces and territories, monthly, unadjusted for seasonality"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410037101
